gene,HR,pvalue,FDR
ENSG00000140563.15,0.9765052036896285,0.4576053229170716,0.617000649362068
ENSG00000132840.10,0.9938130646223322,0.8330795609718454,0.8984262857584551
ENSG00000124212.6,0.9702239729688593,0.33799646874478884,0.5093878688344181
ENSG00000140795.13,1.05918573846148,0.06311741654593779,0.1522977894658856
ENSG00000228022.6,0.9860804278563557,0.6592872286137305,0.7836869575869486
ENSG00000164619.10,1.0145657320766914,0.6109149982326455,0.7478700002838211
ENSG00000151150.22,1.0335744836455147,0.28608084964232416,0.4547112837340024
ENSG00000168685.15,0.8988860447327952,3.2482038139598047e-4,0.002421388297679127
ENSG00000099822.3,0.9596445277525416,0.18952773255957808,0.3419977338611146
ENSG00000230267.7,1.0052291479940751,0.8825369157827887,0.9297492950180095
ENSG00000260423.2,1.0173385246990818,0.5822089497651505,0.7231708881860648
ENSG00000158516.12,0.9978914861121465,0.9453267982742403,0.9667574999375433
ENSG00000159784.18,0.927475901901328,0.017265351209687866,0.05727986104762377
ENSG00000163600.13,0.8924526734484822,6.726685075648988e-5,7.233660703128939e-4
ENSG00000168453.15,1.0132934444089357,0.6916313925968939,0.8069839574923404
ENSG00000241935.9,0.9726259906301247,0.3588014545372942,0.5316128186005763
ENSG00000094963.14,0.9409865565502062,0.06383669790000397,0.15351498216145187
ENSG00000197385.6,0.9506220534884374,0.11353897568618308,0.23516437117279
ENSG00000166402.9,1.059971050847619,0.06516277798121296,0.15550773638455498
ENSG00000064886.14,0.9358340759232491,0.03340147126398394,0.09492849958093619
ENSG00000133110.15,1.0166305860629006,0.5934514647059479,0.7326845471798972
ENSG00000116106.12,1.0734852772960561,0.02187866539398649,0.06904547905408229
ENSG00000107518.18,1.0278556479270209,0.3973984636026406,0.566132130728961
ENSG00000185436.12,0.9769820990916649,0.4576314292549525,0.617000649362068
ENSG00000183092.16,1.055806094819242,0.0896326568699741,0.1982939184713005
ENSG00000122733.12,1.067738253724101,0.047161050066389536,0.12329751561404263
ENSG00000185052.12,1.0015695088758054,0.9550972787263649,0.9724729678381229
ENSG00000135318.12,0.9657988124014255,0.25290760365026255,0.41724633853277804
ENSG00000206052.11,1.0225551668162547,0.4715242007121847,0.6299831627945721
ENSG00000198121.13,0.9471036842926183,0.06470480579914802,0.15478404524502073
ENSG00000148053.17,0.9870604394016121,0.6542663247839772,0.7816193352207914
ENSG00000204186.10,0.9834992120998831,0.5984190022084815,0.7372640022282819
ENSG00000101463.6,0.9932517909965144,0.8192186965239271,0.8896508727773954
ENSG00000244682.7,0.8209683083535279,2.3090600363858623e-8,3.6676290423345174e-6
ENSG00000151012.13,1.0126792828489146,0.6847158571556453,0.8019975179885522
ENSG00000099954.18,1.0977468334104297,0.001971785238874378,0.01033843790864742
ENSG00000244617.2,1.1115780569758666,0.0022424291318652945,0.011422230669643792
ENSG00000106034.18,0.9028941494363347,0.003227374796707054,0.01528724311849307
ENSG00000105880.7,1.0708506326165113,0.03524359981881435,0.09848052753732343
ENSG00000177106.16,1.0451558965188565,0.19422233218896437,0.3468544508682816
ENSG00000137857.17,1.0945724218873167,0.00666238911921836,0.02767879599196864
ENSG00000170801.10,1.0563663607374092,0.08563756030183134,0.19140262583992865
