"gene","logFC_main","adjP_main","P_main","logFC_raw","adjP_raw","P_raw","direction_same","significant_main","significant_raw"
"SDHA",-2.64858669663675,0.889971158782418,0.365173829539356,-2.64858669663674,0.895910945117688,0.368216347789114,TRUE,FALSE,FALSE
"ITGB3",-2.2521459687021,0.889971158782418,0.368427976423721,-2.2521459687021,0.895910945117688,0.371466725687741,TRUE,FALSE,FALSE
"CD19",1.6613816715051,0.889971158782418,0.369830337784974,1.6613816715051,0.895910945117688,0.372867707382331,TRUE,FALSE,FALSE
"VCAM1",-1.31132037779634,0.889971158782418,0.374704142625877,-1.31132037779634,0.895910945117688,0.377735584393861,TRUE,FALSE,FALSE
"C7",-0.923783027586593,0.889971158782418,0.376895325080277,-0.923783027586592,0.895910945117688,0.379924993246559,TRUE,FALSE,FALSE
"MAGEB2",0.213165061302195,0.889971158782418,0.378285178825534,0.213165061302194,0.895910945117688,0.381357492119407,TRUE,FALSE,FALSE
"CXCL2",1.57503090262443,0.889971158782418,0.380678268525847,1.57503090262443,0.895910945117688,0.383700792869553,TRUE,FALSE,FALSE
"SELE",0.320915243936363,0.889971158782418,0.38382872663044,0.320915243936368,0.895910945117688,0.386865885641009,TRUE,FALSE,FALSE
"CCL20",0.673727552067517,0.889971158782418,0.384759465046351,0.673727552067519,0.895910945117688,0.387779484517882,TRUE,FALSE,FALSE
"CXCL16",1.13613833189052,0.889971158782418,0.386058007308664,1.13613833189052,0.895910945117688,0.389072996025029,TRUE,FALSE,FALSE
"CXCL8",-1.49351951646569,0.889971158782418,0.394951657626574,-1.49351951646569,0.895910945117688,0.397950978923721,TRUE,FALSE,FALSE
"ZAP70",-0.885980416709648,0.889971158782418,0.397834946295155,-0.885980416709642,0.895910945117688,0.400830687523961,TRUE,FALSE,FALSE
"IRF2",0.51329952446398,0.889971158782418,0.39918343719489,0.513299524463986,0.895910945117688,0.40218157409837,TRUE,FALSE,FALSE
"CD40",0.901180657829999,0.889971158782418,0.405616146905927,0.901180657829999,0.895910945117688,0.408596948196779,TRUE,FALSE,FALSE
"MYC",1.74565453258666,0.889971158782418,0.409522652190566,1.74565453258667,0.895910945117688,0.412493904261914,TRUE,FALSE,FALSE
"IRF4",1.06583861216207,0.889971158782418,0.415190830009371,1.06583861216207,0.895910945117688,0.418151180849715,TRUE,FALSE,FALSE
"HLA-DMB",0.170883204329957,0.889971158782418,0.418799966509465,0.170883204329958,0.895910945117688,0.421811105591629,TRUE,FALSE,FALSE
"TNFRSF1B",-0.765871587241065,0.889971158782418,0.42246983603102,-0.76587158724107,0.895910945117688,0.425415460039859,TRUE,FALSE,FALSE
"KLRD1",0.199513758564267,0.889971158782418,0.42386388398107,0.199513758564267,0.895910945117688,0.426846436197927,TRUE,FALSE,FALSE
"CD79B",3.77437388162114,0.889971158782418,0.425573365336926,3.77437388162115,0.895910945117688,0.428509019815552,TRUE,FALSE,FALSE
"IL18",1.27781331183277,0.889971158782418,0.433392919704261,1.27781331183277,0.895910945117688,0.436310714922306,TRUE,FALSE,FALSE
