"gene","logFC_GSE78220","P_GSE78220","adjP_GSE78220","logFC_GSE215868","P_GSE215868","adjP_GSE215868","logFC_GSE211645","P_GSE211645","adjP_GSE211645","n_cohorts_up","n_cohorts_down","n_cohorts_tested","direction_concordant","in_discovery_top50","in_discovery_top100"
"CD96",-0.176892940726384,0.579418949048459,0.99603003143199,0.392306609171373,0.0878264405758914,0.402934947132882,0.770880952380939,0.0848440567455941,0.141406761242657,2,1,3,"Discordante",FALSE,FALSE
"TLR4",-0.211178089271717,0.581396057483307,0.99603003143199,0.211913644656114,0.220411571481257,0.54391378015719,1.1837976190476,0.000963735426624302,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"B2M",0.222329391923482,0.582306156876349,0.99603003143199,0.537065608455727,0.00638713245970778,0.159678311492694,0.845261904761877,0.0122464022789149,0.0314010314843971,3,0,3,"Up en todas",FALSE,FALSE
"PSMB10",0.23842783962438,0.593965861943039,0.99603003143199,0.485565235359313,0.0059899277273571,0.159678311492694,0.94582142857141,0.0197647559978651,0.0476259180671447,3,0,3,"Up en todas",FALSE,FALSE
"CD19",0.309471887786641,0.594460981934507,0.99603003143199,-0.0476722179216584,0.871746173943431,0.962946360578871,0.959678571428562,0.111677072319577,0.171810880491658,2,1,3,"Discordante",FALSE,FALSE
"POLR2A",0.172942035343138,0.598270978694946,0.99603003143199,-0.0578335830561247,0.47561510590794,0.765791015338674,0.175059523809507,0.470929846316625,0.553972250624818,2,1,3,"Discordante",FALSE,FALSE
"CCR5",-0.216440953131993,0.602099078820857,0.99603003143199,0.399312166923536,0.0854127634048051,0.402934947132882,1.21534523809522,0.00515295522277696,0.0181988098459713,2,1,3,"Discordante",FALSE,FALSE
"SDHA",-0.145212383856422,0.606180912021723,0.99603003143199,0.120986851141237,0.105080882952088,0.405443117767906,0.670619047619034,0.00100758680914913,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"GZMB",-0.285145739035238,0.607589536623836,0.99603003143199,0.501268400954799,0.050577533298702,0.346509295985897,1.37416666666666,0.006381936503599,0.0212731216786633,2,1,3,"Discordante",FALSE,FALSE
"CCL20",0.298006105595432,0.609100739394319,0.99603003143199,-0.0967848504342776,0.740103570655752,0.897095237158487,0.924916666666663,0.159685766085101,0.234832008948678,2,1,3,"Discordante",FALSE,FALSE
"GZMM",-0.24617509145457,0.615460522238161,0.99603003143199,0.349841494341242,0.119191622974889,0.409961623655655,1.2550238095238,0.0347611658497689,0.0724190955203519,2,1,3,"Discordante",FALSE,FALSE
"TNFRSF18",-0.252700919940548,0.616589327640148,0.99603003143199,0.324519849933329,0.114942056922795,0.409961623655655,0.59909523809523,0.357462312821808,0.444052562511562,2,1,3,"Discordante",FALSE,FALSE
"CD69",0.283227560404685,0.617580302399773,0.99603003143199,0.093744386691144,0.713540451214656,0.880914137302045,0.802678571428561,0.109516392517382,0.169792856616097,3,0,3,"Up en todas",FALSE,FALSE
"JAK2",0.171717828508476,0.620546818291418,0.99603003143199,0.0323059144466997,0.827172405607294,0.933025806165456,0.341999999999983,0.163798711621898,0.239122206747297,3,0,3,"Up en todas",FALSE,FALSE
"CD14",-0.222915136209424,0.620909520986128,0.99603003143199,0.123832376473065,0.450229265486684,0.744180604110221,1.54509523809522,0.00139907422274537,0.00756256336619121,2,1,3,"Discordante",FALSE,FALSE
"PSMB9",0.220917594998793,0.622604702708933,0.99603003143199,0.681850147569856,0.00405687317339712,0.159678311492694,1.13071428571427,0.00323626987049307,0.0134331557684801,3,0,3,"Up en todas",FALSE,FALSE
"IL7R",-0.188932188814499,0.627610546082282,0.99603003143199,0.131756046656867,0.67503929129731,0.867693959962354,0.130119047619035,0.7553574838494,0.804217980653101,2,1,3,"Discordante",FALSE,FALSE
"TNFRSF17",-0.273597109013127,0.62828257153507,0.99603003143199,-0.12877308810471,0.678684245492758,0.867693959962354,2.23899999999999,0.00507470880109703,0.0181988098459713,1,2,3,"Discordante",FALSE,FALSE
"TAP1",0.180518129579442,0.63523095041807,0.99603003143199,0.651888190882485,0.00537399842419298,0.159678311492694,0.536785714285696,0.365838290144099,0.448881337600122,3,0,3,"Up en todas",FALSE,FALSE
"TBX21",-0.144854071082256,0.637823842353744,0.99603003143199,0.454266618838792,0.0299120535385905,0.25316205871279,1.54672619047618,0.00518666080610181,0.0181988098459713,2,1,3,"Discordante",FALSE,FALSE
"IL4",0.0637026980972907,0.639131672667853,0.99603003143199,-0.00496538067043217,0.980589592813014,0.995522429251791,0.705023809523804,0.294276115525794,0.372501412057968,2,1,3,"Discordante",FALSE,FALSE
"IRF9",-0.111247256527983,0.652466337363633,0.99603003143199,0.140830029492651,0.294686567323904,0.607601169740009,0.324630952380934,0.138483035500311,0.208245166165882,2,1,3,"Discordante",FALSE,FALSE
"ITGAX",0.161627279092238,0.654093296709494,0.99603003143199,0.368220716407897,0.0464979662133316,0.344429379358012,2.05576190476189,0.000930198866605102,0.00711400493336619,3,0,3,"Up en todas",FALSE,FALSE
"HLA-DRB1",0.474259526012159,0.669102395428732,0.99603003143199,0.501956302106581,0.0786394008986187,0.402934947132882,1.69953571428568,0.00120938083867225,0.00711400493336619,3,0,3,"Up en todas",FALSE,FALSE
"CD74",0.22690124335306,0.670207161113779,0.99603003143199,0.480573369981528,0.052263198769326,0.346509295985897,2.16021428571427,0.000134331174957547,0.00277352467666507,3,0,3,"Up en todas",FALSE,FALSE
"IRF2",0.105228490064215,0.67264083118769,0.99603003143199,0.107594193916376,0.303045273772077,0.615651566943161,0.690333333333317,0.0202093056519472,0.0481173944093981,3,0,3,"Up en todas",FALSE,FALSE
"TLR9",0.124996492461107,0.676661446542962,0.99603003143199,0.152687960919394,0.409567054039751,0.706150093171984,0.297749999999992,0.611003221683719,0.686520473801932,3,0,3,"Up en todas",FALSE,FALSE
"TIGIT",-0.208903023111378,0.678111550524385,0.99603003143199,0.463229566402255,0.106742861789742,0.405443117767906,1.91457142857142,0.00113283785343075,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"CXCL8",-0.285712640884032,0.685034570022425,0.99603003143199,-0.459466272924296,0.27338598233561,0.581672302841724,1.30182142857142,0.0995050652303506,0.160492040694114,1,2,3,"Discordante",FALSE,FALSE
