"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
"PLAUR",-0.0822791470506776,15.0937222222222,-0.870774979535049,0.384451775048895,0.740577923493963,-4.72967541054936,"Down_in_responders"
"BRCA1",-0.0780767100526165,21.6213611111111,-0.868623316495424,0.38562637436372,0.740577923493963,-4.73053943679825,"Down_in_responders"
"CCR5",-0.114281362503462,17.9977222222222,-0.86060136960142,0.390024949322061,0.740609173431778,-4.73374202429148,"Down_in_responders"
"E2F1",0.083216418947075,21.1011420612813,0.829632798147532,0.407292461460988,0.758634687710342,-4.74576861630564,"Up_in_responders"
"ERBB2",-0.125325394627525,23.2408333333333,-0.812980036325438,0.416761695834201,0.758634687710342,-4.75214567685744,"Down_in_responders"
"IL7R",-0.123915812794239,15.5567777777778,-0.812352501061934,0.417121118638568,0.758634687710342,-4.75238124146995,"Down_in_responders"
"CDC25A",0.141438659651066,23.4714166666667,0.811737524514683,0.417473526373147,0.758634687710342,-4.75261191628952,"Up_in_responders"
"IL6",-0.0662641927443928,25.3086666666667,-0.796900454068779,0.426029077279429,0.761548670441021,-4.75812457147324,"Down_in_responders"
"PTGS2",-0.0779243976737755,17.53275,-0.790956029599428,0.429485449699983,0.761548670441021,-4.76030481984609,"Down_in_responders"
"TLR9",-0.069703683190252,18.1166666666667,-0.785103533508034,0.432904300599274,0.761548670441021,-4.76243548789887,"Down_in_responders"
"CXCL1",-0.0857684851841604,20.0537222222222,-0.774154599634022,0.439342627008936,0.761548670441021,-4.76637929818253,"Down_in_responders"
"CTSD",-0.0702423151481586,13.1745277777778,-0.763005223479763,0.44595519807096,0.761548670441021,-4.77033867785343,"Down_in_responders"
"CDK2",-0.0699224591525904,19.9079444444444,-0.762738118893283,0.44611430990332,0.761548670441021,-4.77043283135711,"Down_in_responders"
"SCN3A",-0.145416782054833,23.7094444444444,-0.745975994657265,0.456164089246869,0.766215434834719,-4.77627579584325,"Down_in_responders"
"FASLG",-0.104885073386873,20.4532222222222,-0.735372819145472,0.462586706317286,0.766215434834719,-4.77990513993428,"Down_in_responders"
"CSF2",0.0744489061201881,25.2041944444444,0.733883986826484,0.463492568378732,0.766215434834719,-4.78041060923189,"Up_in_responders"
"CCND1",-0.124149187387136,23.4347632311978,-0.716144349171988,0.474363336605154,0.766215434834719,-4.78628613686927,"Down_in_responders"
"GZMA",-0.0980074771531436,17.5135277777778,-0.713705411362146,0.475867382534883,0.766215434834719,-4.78716079920805,"Down_in_responders"
"SERPINE1",-0.109983384104127,21.8502777777778,-0.708980671920376,0.478790961924818,0.766215434834719,-4.78871425902126,"Down_in_responders"
"S100A4",-0.0600512323456113,13.2856388888889,-0.706089471239713,0.480584828949587,0.766215434834719,-4.78965979749761,"Down_in_responders"
"UBE2C",0.0658460260315714,21.4806111111111,0.682866021237858,0.495126508275756,0.778272155095752,-4.79711520574493,"Up_in_responders"
"FAM210B",0.116246192190529,15.6546944444444,0.676029574057819,0.499451780687056,0.778272155095752,-4.79926259635902,"Up_in_responders"
"TGFB1",-0.0523843810578784,13.0617777777778,-0.668651452769818,0.504142269168118,0.778272155095752,-4.80155598257851,"Down_in_responders"
"S100A6",-0.088198559955691,14.4599722222222,-0.66485057462074,0.506567674914395,0.778272155095752,-4.80272764774339,"Down_in_responders"
"ICOS",-0.0811451121572973,19.9094722222222,-0.647598201276448,0.517653682209803,0.788139390031142,-4.80796223614667,"Down_in_responders"
"ICAM1",-0.060186928828579,17.4735833333333,-0.628803080241252,0.529872943080611,0.799540423041278,-4.81350883165969,"Down_in_responders"
"VEGFA",0.0948144558294094,23.5220833333333,0.620133164212771,0.535558710938849,0.800968337598809,-4.81601252573867,"Up_in_responders"
"IL12B",-0.0299778454721684,25.5852777777778,-0.606276488420697,0.544709618738399,0.803894776500965,-4.81994210687717,"Down_in_responders"
"DENND2D",0.0365605095541402,16.7381111111111,0.602782952556367,0.547028989926692,0.803894776500965,-4.82091885814434,"Up_in_responders"
"NEDD9",-0.0721019108280243,20.9028888888889,-0.568924477648785,0.569758762287205,0.829180534838388,-4.83009368768092,"Down_in_responders"
"HMGA1",-0.0476183882581003,16.3530555555556,-0.551361139431674,0.581724913852716,0.829180534838388,-4.8346446343361,"Down_in_responders"
"THBS1",-0.0850900027693165,17.964,-0.54942473259712,0.583051402291079,0.829180534838388,-4.83513767801801,"Down_in_responders"
"IL32",-0.0648919966768219,14.2748611111111,-0.548244115219452,0.58386084997496,0.829180534838388,-4.83543743520305,"Down_in_responders"
"SOCS3",0.0742162835779556,18.3435277777778,0.523963100912019,0.60062354908166,0.831987516870494,-4.84145969849114,"Up_in_responders"
"GZMB",-0.0835779562448065,17.2533333333333,-0.512183911382981,0.608833371945186,0.831987516870494,-4.84428318743383,"Down_in_responders"
"LTA",-0.0569080587094982,20.0320277777778,-0.511760164220697,0.609129646595812,0.831987516870494,-4.8443835666845,"Down_in_responders"
"ALOX5",0.0607103295486015,16.2329166666667,0.498379612536514,0.618517941733091,0.831987516870494,-4.84751057627145,"Up_in_responders"
"C1QA",0.0884699529216277,20.0591388888889,0.488609936781284,0.625412541283432,0.831987516870494,-4.84974151525425,"Up_in_responders"
"HSPA1A",-0.0541387427305461,14.8909166666667,-0.488519421162083,0.625476574788232,0.831987516870494,-4.84976197873531,"Down_in_responders"
"CASP1",-0.0442412074217668,15.6588055555556,-0.48564565937203,0.62751103434577,0.831987516870494,-4.85040970260355,"Down_in_responders"
"IGHG2",0.134915535862642,18.8918888888889,0.482182228780125,0.629966728245475,0.831987516870494,-4.85118526518437,"Up_in_responders"
"PLXDC2",-0.0470548324563836,16.6416944444444,-0.481931883545803,0.630144391475877,0.831987516870494,-4.85124111005571,"Down_in_responders"
"NLRC4",-0.0495167543616729,17.7429722222222,-0.471002724777762,0.637921339773236,0.835693807984878,-4.85365087758287,"Down_in_responders"
"CTLA4",-0.0589351980060916,19.8133611111111,-0.464117528649809,0.642841390757598,0.835693807984878,-4.85514066592089,"Down_in_responders"
"MMP12",-0.0221171420659089,25.6186388888889,-0.449460678627516,0.653367264540499,0.842732488735402,-4.85823912223722,"Down_in_responders"
"AXIN2",-0.0707629465522016,19.9954166666667,-0.442723733883704,0.658228926112858,0.842732488735402,-4.85963001753112,"Down_in_responders"
"NRAS",-0.0349806147881457,17.42225,-0.418656958097657,0.675714128153621,0.856504645486995,-4.86442751138587,"Down_in_responders"
"DPP4",-0.053907504846303,18.9028888888889,-0.413994899623539,0.679122026599156,0.856504645486995,-4.86532590190605,"Down_in_responders"
"IL1RN",0.0410772639158126,16.7343888888889,0.395279493286839,0.692868513511959,0.867368731729785,-4.86883129337825,"Up_in_responders"
"PTPRK",-0.0752104680144007,22.6238611111111,-0.383561546624389,0.701527698629274,0.871751331384907,-4.870943634757,"Down_in_responders"
"HLA-DRA",-0.0364926613126555,12.5979166666667,-0.366293649128851,0.714359084462943,0.88121668083385,-4.87394073249636,"Down_in_responders"
"CHPT1",0.032605926336196,16.6817777777778,0.344966003830232,0.730319460526538,0.894376730644818,-4.87745213772197,"Up_in_responders"
"CCL5",0.0354458598726106,13.1240833333333,0.330647124199699,0.741101562570925,0.901051540104218,-4.8796915796666,"Up_in_responders"
"FOS",-0.0344045970645256,15.9641388888889,-0.315668794646429,0.752435088610834,0.908296642680221,-4.8819326666072,"Down_in_responders"
"IFNG",-0.0569579063971191,23.4990277777778,-0.297632455553032,0.766153742907441,0.918297748591188,-4.88449356157984,"Down_in_responders"
"MIF",-0.0285585710329555,16.2920833333333,-0.275971240887053,0.782726994441557,0.922139876378777,-4.88737020380277,"Down_in_responders"
"CD28",-0.0361409581833286,17.7113055555556,-0.271793820599393,0.785934870111333,0.922139876378777,-4.8878999979053,"Down_in_responders"
"TNF",0.0225630019385208,19.2909722222222,0.252774476853887,0.800585384810957,0.922139876378777,-4.89021000575975,"Up_in_responders"
"GADD45A",0.0228897812240364,19.9478611111111,0.248734757101976,0.803706445188563,0.922139876378777,-4.89067909674578,"Up_in_responders"
"IFI16",0.0245832179451674,14.7561666666667,0.246518370773606,0.805420149883744,0.922139876378777,-4.89093325397997,"Up_in_responders"
"CASP3",0.0353586264192735,20.1963333333333,0.244395036084315,0.807062788077534,0.922139876378777,-4.8911746083129,"Up_in_responders"
