"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:1903035","negative regulation of response to wounding","6/290","69/11800",0.0869565217391304,3.53823088455772,3.35638746028398,0.00686111141346601,0.0646589534666694,0.0537231992485612,"FAP/PDGFB/MMRN1/PDGFRA/PLAUR/SERPINE1",6,"Down en respondedores"
"GO:0030111","regulation of Wnt signaling pathway","14/290","270/11800",0.0518518518518519,2.10983397190294,2.92825693514852,0.00693257389872617,0.0651419407451733,0.0541244989975737,"GPC3/FOXL1/DKK3/LRP1/HIC1/IGFBP6/ASPM/SFRP2/APCDD1L/WNT5A/GSC/BICC1/DACT1/LINC00941",14,"Down en respondedores"
"GO:0044703","multi-organism reproductive process","9/290","139/11800",0.0647482014388489,2.63458198958075,3.07701879881718,0.00732097811768542,0.0683927897776814,0.0568255326663362,"FBLN1/MMP2/STC2/ITGA5/FBN2/TPPP3/IGFBP5/PTGFR/ANGPT2",9,"Down en respondedores"
"GO:0048771","tissue remodeling","9/290","139/11800",0.0647482014388489,2.63458198958075,3.07701879881718,0.00732097811768542,0.0683927897776814,0.0568255326663362,"AXL/FOXC2/MMP2/COL6A1/EDNRA/DCSTAMP/IGFBP5/TIE1/ACVRL1",9,"Down en respondedores"
"GO:0001942","hair follicle development","6/290","70/11800",0.0857142857142857,3.48768472906404,3.31344138162395,0.00735362759141228,0.0684992535465948,0.0569139902420227,"COL6A1/INHBA/GAL/WNT5A/IGFBP5/LDB2",6,"Down en respondedores"
"GO:0002042","cell migration involved in sprouting angiogenesis","5/290","50/11800",0.1,4.06896551724138,3.45177131476606,0.00743593120292358,0.0686705050631023,0.0570562780281634,"FOXC2/NRP1/MMRN1/SRPX2/CLEC14A",5,"Down en respondedores"
"GO:0061005","cell differentiation involved in kidney development","5/290","50/11800",0.1,4.06896551724138,3.45177131476606,0.00743593120292358,0.0686705050631023,0.0570562780281634,"FOXC2/EDNRA/PDGFB/OSR1/PODXL",5,"Down en respondedores"
"GO:0072577","endothelial cell apoptotic process","5/290","50/11800",0.1,4.06896551724138,3.45177131476606,0.00743593120292358,0.0686705050631023,0.0570562780281634,"IL10/GAS6/F3/RGCC/SERPINE1",5,"Down en respondedores"
"GO:0003071","renal system process involved in regulation of systemic arterial blood pressure","3/290","17/11800",0.176470588235294,7.18052738336714,4.04767835591234,0.00773703784085372,0.0704420140143264,0.0585281720699728,"GJA5/PDGFB/GAS6",3,"Down en respondedores"
"GO:0003184","pulmonary valve morphogenesis","3/290","17/11800",0.176470588235294,7.18052738336714,4.04767835591234,0.00773703784085372,0.0704420140143264,0.0585281720699728,"HEYL/GJA5/STRA6",3,"Down en respondedores"
